,Subject,"THEME (race, identity, activism, government, entertainment, education)",Subject Name,Geographic Coverage,Photographer,Date,Year,Caption,longitude,latitude,latlng,imageurl
"Los Angeles City Council chambers during debate on requiring Communists to register, Dorothy Healey at microphone, 1950",Communism--California--Los Angeles County,Activism,"Healey, Dorothy, 1914-2006--Public appearances",Los Angeles (Calif.)--Politics and government,,1950-01-01,1950,"INSIDE-- This is a section of Council chambers showing the near-record crowd that listened to testimony.  While Los Angeles Communists jammed chambers, it was apparent that the anti-Reds were well represented.",-118.242631,34.05362833,"34.05362833,-118.242631",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325920a.jpg
"Los Angeles City Councilman Ed Davenport speaking during debate on requiring Communists to register, 1950",Communism--California--Los Angeles County,Activism,"Davenport, Edward J., 1899-1953",Los Angeles (Calif.)--Officials and employees,,1950-01-01,1950,"IN ACTION--Councilman Ed Davenport, who proposed anti-Communist ordinance.",-118.242631,34.05362833,"34.05362833,-118.242631",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325921a.jpg
"American Legion Un-American activities committee members picketing premiere of the film, ""Moulin Rouge"" in Los Angeles, Calif., 1952",Anti-communist movements--California--Los Angeles County,Activism,"Huston, John, 1906- --Public opinion",Los Angeles County (Calif.),,1952-01-01,1952,"PICKETING PREMIERE-- General view in front of Fox Wilshire Theater in Beverly Hills as members of 17th District American Legion Un-American activities committee picketed premiere of the film, ""Moulin Rouge.""",-118.3749121,34.06476772,"34.06476772,-118.3749121",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00178536a.jpg
"College students stage ""peace vigil"", marking 15th anniversary of Hiroshima bombing, Los Angeles, Calif., 1960",Antinuclear movement--California--Los Angeles County,Activism,,Los Angeles (Calif.),,1960-01-01,1960,"STUDENTS MARCH AT FEDERAL BUILDING IN ALL-DAY 'PEACE VIGIL'-Southland college students staged a sunrise-to-sunset ""peace vigil"" today in front of the Federal Building in observance of 15th anniversary of dropping of atomic bomb on Hiroshima, Japan.  Marchers, who halted at 8:15 for five minutes, urged action to prevent ""any more Hiroshimas anywhere.""",-118.2418558,34.05545055,"34.05545055,-118.2418558",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00061417a.jpg
"Daughters of fisherman walk down dock with signs on back protesting price cut by canneries on Terminal Island, Calif., 1960",Children--California--Terminal Island,Activism,,Terminal Island (Calif.),,1960-01-01,1960,"PROTEST-Bonnie, 9, dragging fish, and Pixie, 2 1/2, daughters of Ray Hamilton of albacore boat El Gralo, walk down dock with signs on back protesting price cut by canneries.  The sign on tiny Pixie's back says, ""I am a giant alongside canners' prices.""",-118.2673958,33.73785527,"33.73785527,-118.2673958",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00061413a.jpg
"Cuban refugees outside the Cuban Consulate to show approval of U.S. break with Cuba, Los Angeles, Calif., 1961",Demonstrations--California--Los Angeles County,Activism,,Cuba--Foreign relations--United States.,,1961-01-01,1961,VOICE APPROVAL-Cuban refugees clustered outside the Cuban Consulate at 307 W 8th St. Wednesday to make known their approval of U.S. break with Cuba.  Some 20 refugees participated.,-118.2550026,34.04380876,"34.04380876,-118.2550026",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00061430a.jpg
"Congress of Racial Equality members with placards supporting the Freedom Riders picketing in Los Angeles, Calif., 1961",African Americans--Civil rights--Southern States--Public opinion,Activism,Congress of Racial Equality,Los Angeles (Calif.),,1961-01-01,1961,"ANGELENOS PROTEST RACIAL DISCRIMINATION--Two hundred members of the Congress of Racial Equality picket Federal Building here today, protesting race demonstration in South. Chairman Earl Walter said it was part of a nationwide action.",-118.2429099,34.05365499,"34.05365499,-118.2429099",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328226a.jpg
"Martin Luther King, Jr. and Ralph Abernathy",African American civil rights workers,Activism,Los Angeles International Airport,Los Angeles (Calif.),,1963-01-01,1963,,-118.4089705,33.9434916,"33.9434916,-118.4089705",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012657a.jpg
Medgar Evers memorial march in Los Angeles (Calif.),African American civil rights workers,Activism,National Association for the Advancement of Colored People,Los Angeles (Calif.),,1963-01-01,1963,,-118.3210132,34.0325677,"34.0325677,-118.3210132",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012661a.jpg
"Anti-segregation marchers join hunger strikers in courtyard of Los Angeles Board of Education, 1963",Civil rights demonstrations--California--Los Angeles County,Activism,Los Angeles (Calif.). Board of Education,Los Angeles (Calif.),,1963-01-01,1963,"SCHOOL BOARD PROTEST-Anti-segregation marchers join hunger strikers in courtyard of Board of Education to protest report on de facto segregation in schools. Hunger strikers, arms linked, backs to camera, are, from left, Bill Wright, Jay Frank, Martin Goldsmith, Judiana Francis, Stanley Kohls.",-118.2443261,34.05985039,"34.05985039,-118.2443261",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00061645a.jpg
